Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,50.000000 ,200.000000 ,550.000000 ,1050.000000 ,1550.000000  
06/02/2012 15:00,734905.625000,5.625000,1,1,1,0.054607,0.077093,0.195119,0.400000,0.400000 
06/02/2012 16:00,734905.666667,5.666667,1,1,1,0.054390,0.076828,0.198487,0.400000,0.400000 
06/02/2012 17:00,734905.708333,5.708333,1,1,1,0.054177,0.076569,0.201975,0.400000,0.400000 
06/02/2012 18:00,734905.750000,5.750000,1,1,1,0.053967,0.076317,0.205560,0.400000,0.400000 
06/02/2012 19:00,734905.791667,5.791667,1,1,1,0.053761,0.076069,0.209216,0.400000,0.400000 
06/02/2012 20:00,734905.833333,5.833333,1,1,1,0.053557,0.075828,0.212921,0.400000,0.400000 
06/02/2012 21:00,734905.875000,5.875000,1,1,1,0.053356,0.075591,0.216650,0.400000,0.400000 
06/02/2012 22:00,734905.916667,5.916667,1,1,1,0.053159,0.075360,0.220381,0.400000,0.400000 
06/02/2012 23:00,734905.958333,5.958333,1,1,1,0.052964,0.075133,0.224093,0.400000,0.400000 
07/02/2012 00:00,734906.000000,6.000000,1,1,1,0.052772,0.074911,0.227768,0.400000,0.400000 
07/02/2012 01:00,734906.041667,6.041667,1,1,1,0.052582,0.074694,0.231390,0.400000,0.400000 
07/02/2012 02:00,734906.083333,6.083333,1,1,1,0.052396,0.074481,0.234948,0.400000,0.400000 
07/02/2012 03:00,734906.125000,6.125000,1,1,1,0.052212,0.074272,0.238431,0.400000,0.400000 
07/02/2012 04:00,734906.166667,6.166667,1,1,1,0.052030,0.074067,0.241832,0.400000,0.400000 
07/02/2012 05:00,734906.208333,6.208333,1,1,1,0.051851,0.073866,0.245144,0.400000,0.400000 
07/02/2012 06:00,734906.250000,6.250000,1,1,1,0.051674,0.073669,0.248361,0.400000,0.400000 
07/02/2012 07:00,734906.291667,6.291667,1,1,1,0.051500,0.073475,0.251480,0.400000,0.400000 
07/02/2012 08:00,734906.333333,6.333333,1,1,1,0.051328,0.073284,0.254497,0.400000,0.400000 
07/02/2012 09:00,734906.375000,6.375000,1,1,1,0.051159,0.073097,0.257412,0.400000,0.400000 
07/02/2012 10:00,734906.416667,6.416667,1,1,1,0.050992,0.072913,0.260222,0.400000,0.400000 
07/02/2012 11:00,734906.458333,6.458333,1,1,1,0.050826,0.072732,0.262928,0.400000,0.400000 
07/02/2012 12:00,734906.500000,6.500000,1,1,1,0.050663,0.072553,0.265529,0.400000,0.400000 
07/02/2012 13:00,734906.541667,6.541667,1,1,1,0.050502,0.072378,0.268027,0.400000,0.400000 
