Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,100.000000 ,300.000000 ,500.000000 ,700.000000 ,900.000000 ,1100.000000 ,1300.000000 ,1500.000000 ,1700.000000 ,1900.000000 ,2100.000000  
05/02/2012 04:00,734904.166667,4.166667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 05:00,734904.208333,4.208333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 06:00,734904.250000,4.250000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 07:00,734904.291667,4.291667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 08:00,734904.333333,4.333333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 09:00,734904.375000,4.375000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 10:00,734904.416667,4.416667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 11:00,734904.458333,4.458333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 12:00,734904.500000,4.500000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 13:00,734904.541667,4.541667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 14:00,734904.583333,4.583333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 15:00,734904.625000,4.625000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 16:00,734904.666667,4.666667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 17:00,734904.708333,4.708333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 18:00,734904.750000,4.750000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 19:00,734904.791667,4.791667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 20:00,734904.833333,4.833333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 21:00,734904.875000,4.875000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 22:00,734904.916667,4.916667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
05/02/2012 23:00,734904.958333,4.958333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
06/02/2012 00:00,734905.000000,5.000000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
06/02/2012 01:00,734905.041667,5.041667,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
06/02/2012 02:00,734905.083333,5.083333,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
06/02/2012 03:00,734905.125000,5.125000,1,1,1,0.400000,0.400000,0.400000,0.400000,0.400000,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
